term,reason
11-dehydrocorticosterone,formula-or-leading-number
"1,2:5,6-dibenzanthracene",formula-or-leading-number
"1,25-dihydroxycholecalciferol",formula-or-leading-number
"1,3-diphosphoglyceric",formula-or-leading-number
17a-hydroxyprogesterone,formula-or-leading-number
17-hydroxycorticosteroid,formula-or-leading-number
"2,3-diphosphoglycerate",formula-or-leading-number
"2,4-dichlorophenoxyacetic",formula-or-leading-number
25-hydroxycholecalciferol,formula-or-leading-number
"3,4-dihydroxyphenylalanine",formula-or-leading-number
3tc,formula-or-leading-number
4-pyridoxic,formula-or-leading-number
5-bromodeoxyuridine,formula-or-leading-number
5-hydroxyindoleacetic,formula-or-leading-number
5-hydroxytryptamine,formula-or-leading-number
5-iododeoxyuridine,formula-or-leading-number
"6,8-thioctic",formula-or-leading-number
6-hydroxydopamine,formula-or-leading-number
7-dehydrocholesterol,formula-or-leading-number
8-hydroxyquinoline,formula-or-leading-number
8-methoxypsoralen,formula-or-leading-number
a1-,alphanumeric-shorthand
A1c,alphanumeric-shorthand
aa.,dotted-abbreviation
AAA,all-caps-acronym
AAAS,all-caps-acronym
AAASPS,all-caps-acronym
AABB,all-caps-acronym
AACP,all-caps-acronym
AAD,all-caps-acronym
AADP,all-caps-acronym
AADR,all-caps-acronym
AADS,all-caps-acronym
AAE,all-caps-acronym
AAFP,all-caps-acronym
AAI,all-caps-acronym
AAID,all-caps-acronym
AAIN,all-caps-acronym
AAMA,all-caps-acronym
AAMC,all-caps-acronym
AAMD,all-caps-acronym
AAMT,all-caps-acronym
AAN,all-caps-acronym
AAO,all-caps-acronym
AAOP,all-caps-acronym
AAOS,all-caps-acronym
AAP,all-caps-acronym
AAPA,all-caps-acronym
AAPB,all-caps-acronym
AAPMR,all-caps-acronym
AARC,all-caps-acronym
AAT,all-caps-acronym
AAV,all-caps-acronym
A.B.,dotted-abbreviation
ABC,all-caps-acronym
A.B.C.,dotted-abbreviation
ABCD,all-caps-acronym
ABE,all-caps-acronym
ABF,all-caps-acronym
ABP,all-caps-acronym
ABR,all-caps-acronym
abs.,dotted-abbreviation
ABVD,all-caps-acronym
a.c.,dotted-abbreviation
ACB,all-caps-acronym
ACC,all-caps-acronym
ACCP,all-caps-acronym
ACD,all-caps-acronym
ACE,all-caps-acronym
ACEP,all-caps-acronym
ACFS,all-caps-acronym
ACI,all-caps-acronym
ACIS,all-caps-acronym
ACIT,all-caps-acronym
ACMI,all-caps-acronym
ACNM,all-caps-acronym
ACOG,all-caps-acronym
ACOM,all-caps-acronym
ACP,all-caps-acronym
