Medical Pronunciation Lexicon for Anki Add-on

Format:
term | student-friendly pronunciation

General / Symptoms / Signs
agranulocytosis | ay-gran-yuh-loh-sy-TOH-sis
anaphylaxis | an-uh-fuh-LAK-sis
angioedema | an-jee-oh-uh-DEE-muh
apoptosis | ay-pop-TOH-sis
ascites | uh-SYE-teez
atelectasis | at-uh-LEK-tuh-sis
cachexia | kuh-KEK-see-uh
cataplexy | KAT-uh-plek-see
catalepsy | KAT-uh-lep-see
cyanosis | sy-uh-NOH-sis
diaphoresis | dy-uh-fuh-REE-sis
dysdiadochokinesia | dis-dy-ad-oh-koh-kih-NEE-zhuh
epistaxis | ep-ih-STAK-sis
erythema | air-ih-THEE-muh
exanthem | eg-ZAN-them
hemoptysis | hih-MOP-tih-sis
hematemesis | hee-muh-TEM-uh-sis
hematochezia | hee-mat-oh-KEE-zee-uh
hirsutism | HER-soo-tiz-um
icterus | IK-ter-us
jaundice | JAWN-dis
koilonychia | koy-loh-NIK-ee-uh
leukoplakia | loo-koh-PLAY-kee-uh
melena | muh-LEE-nuh
myoclonus | my-OK-luh-nus
nystagmus | nih-STAG-mus
orthopnea | or-THAHP-nee-uh
paroxysmal | pair-ok-SIZ-mul
petechiae | puh-TEE-kee-ee
pruritus | proo-RY-tus
purpura | PUR-pyur-uh
rhinorrhea | ry-nuh-REE-uh
syncope | SING-kuh-pee
tinnitus | TIN-ih-tus
urticaria | ur-tih-KAIR-ee-uh
xanthoma | zan-THOH-muh
xerostomia | zeer-oh-STOH-mee-uh

Eponyms / Named Syndromes / Clinical Signs
Achilles tendinopathy | uh-KIL-eez ten-dih-NOP-uh-thee
Alzheimer disease | ALTS-hy-mer dih-ZEEZ
Apgar score | AP-gar SKOR
Babinski sign | buh-BIN-skee SYN
Beck triad | BEK TRY-ad
Brudzinski sign | broo-JIN-skee SYN
Charcot joint | shar-KOH JOYNT
Charcot triad | shar-KOH TRY-ad
Chvostek sign | KVAHS-tek SIGN
Cushing syndrome | KOOSH-ing SIN-drohm
Epley maneuver | EP-lee muh-NOO-ver
Finkelstein test | FING-kul-styne TEST
Guillain-Barre syndrome | gee-YAN bah-RAY SIN-drohm
Hirschsprung disease | HURSH-sproong dih-ZEEZ
Kernig sign | KER-nig SIGN
Klinefelter syndrome | KLINE-fel-ter SIN-drohm
Leriche syndrome | luh-REESH SIN-drohm
Meniere disease | men-YAIR dih-ZEEZ
Osler node | AHZ-ler NOHD
Pancoast tumor | PAN-kohst TOO-mer
Phalen test | FAY-len TEST
Raynaud phenomenon | ray-NOH fuh-NAH-muh-nahn
Rovsing sign | RAHV-zing SIGN
Sengstaken-Blakemore tube | SENG-stah-ken BLAKE-mor TOOB
Trousseau sign | troo-SOH SIGN
Virchow node | VEER-koh NOHD
Wallenberg syndrome | WAH-len-berg SIN-drohm
Wernicke encephalopathy | WER-nih-kee en-sef-uh-LAH-puh-thee
Wolff-Parkinson-White | WOOLF PAR-kin-sun WHITE

Pharmacology / Drugs
acetaminophen | uh-see-tuh-MIN-uh-fen
acetazolamide | uh-see-tuh-ZOLE-uh-mide
acyclovir | ay-SYE-kloh-veer
adalimumab | ad-uh-LIM-yoo-mab
alendronate | uh-LEN-droh-nayt
allopurinol | al-oh-PYOOR-ih-nol
amiodarone | am-ee-OH-duh-rohn
amitriptyline | am-ih-TRIP-tuh-leen
amlodipine | am-LOH-dih-peen
amoxicillin | uh-mok-sih-SIL-in
amphotericin B | am-foh-TER-ih-sin BEE
apixaban | uh-PIK-suh-ban
aripiprazole | air-ih-PIP-ruh-zohl
atenolol | uh-TEN-oh-lohl
atorvastatin | uh-tor-vuh-STAT-in
azathioprine | ay-zuh-THY-uh-preen
azithromycin | uh-zith-roh-MY-sin
benztropine | BENZ-troh-peen
bupropion | byoo-PROH-pee-on
buspirone | byoo-SPY-rohn
cabergoline | kuh-BER-goh-leen
carbamazepine | kar-buh-MAZ-uh-peen
carbidopa-levodopa | kar-bih-DOH-puh lee-voh-DOH-puh
carvedilol | kar-VEH-dih-lohl
cefazolin | seh-FAZ-uh-lin
cefepime | SEF-eh-peem
cephalexin | sef-uh-LEK-sin
ceftriaxone | sef-try-AK-sohn
celecoxib | sel-eh-KAHK-sib
cetirizine | suh-TEER-uh-zeen
chloramphenicol | klor-am-FEN-ih-kol
chlorthalidone | klor-THAL-ih-dohn
ciprofloxacin | sip-roh-FLOK-suh-sin
clindamycin | klin-duh-MY-sin
clopidogrel | kloh-PID-uh-grel
clozapine | KLOH-zuh-peen
colchicine | KOL-chuh-seen
cyclobenzaprine | sigh-kloh-BEN-zuh-preen
cyclophosphamide | sigh-kloh-FAHS-fuh-mide
dabigatran | duh-BIG-uh-tran
daptomycin | dap-toh-MY-sin
dexamethasone | dek-suh-METH-uh-sone
dexmedetomidine | deks-med-ih-TOH-mih-deen
diltiazem | dil-TY-uh-zem
diphenhydramine | dye-fen-HY-druh-meen
dulaglutide | doo-luh-GLOO-tide
duloxetine | dyoo-LOK-suh-teen
empagliflozin | em-puh-glih-FLOH-zin
enoxaparin | ih-nok-suh-PAIR-in
ertapenem | er-tuh-PEN-em
escitalopram | es-sy-TAL-uh-pram
esomeprazole | es-oh-MEP-ruh-zohl
etanercept | eh-TAN-er-sept
ezetimibe | eh-ZET-ih-mibe
famotidine | fuh-MOH-tih-deen
fentanyl | FEN-tuh-nil
fexofenadine | feks-oh-FEN-uh-deen
fluconazole | floo-KON-uh-zohl
flumazenil | floo-MAZ-uh-nil
fluoxetine | floo-OK-suh-teen
furosemide | fyoor-OH-suh-myd
gabapentin | gab-uh-PEN-tin
gentamicin | jen-tuh-MY-sin
glimepiride | gly-MEP-ih-ride
glyburide | GLY-byoo-ride
griseofulvin | griz-ee-oh-FUHL-vin
guaifenesin | gwye-FEN-ih-sin
haloperidol | hal-oh-PEHR-ih-dahl
heparin | HEP-uh-rin
hydralazine | hye-DRAL-uh-zeen
hydrochlorothiazide | hye-droh-klor-oh-THYE-uh-zide
hydroxychloroquine | hye-drok-see-KLOR-oh-kwin
ibuprofen | eye-byoo-PROH-fen
imipenem | im-ih-PEN-em
infliximab | in-FLIK-sih-mab
ipratropium | ip-ruh-TROH-pee-um
isoniazid | eye-soh-NYE-uh-zid
ivermectin | eye-ver-MEK-tin
ketorolac | kee-tuh-ROLE-ak
labetalol | luh-BET-uh-lawl
lamotrigine | luh-MOH-trih-jeen
lansoprazole | lan-SOH-pruh-zohl
levetiracetam | lev-eh-tih-RAS-eh-tam
levofloxacin | lee-voh-FLAHK-suh-sin
levothyroxine | lee-voh-thye-ROK-seen
lidocaine | LYE-doh-kayn
liraglutide | leer-uh-GLOO-tide
lisdexamfetamine | lis-deks-am-FET-uh-meen
lisinopril | lye-SIN-oh-pril
lithium | LITH-ee-um
lorazepam | lor-AZ-uh-pam
losartan | loh-SAR-tan
meropenem | mer-oh-PEN-em
methimazole | meh-THIM-uh-zohl
methotrexate | meth-oh-TREK-sayt
metoclopramide | met-oh-KLOH-pruh-mide
metoprolol | meh-TOH-proh-lol
metronidazole | meh-troh-NYE-duh-zohl
mirtazapine | mir-TAZ-uh-peen
moxifloxacin | mahk-see-FLAHK-suh-sin
mycophenolate mofetil | my-koh-FEN-oh-late MOH-feh-til
nifedipine | nye-FED-ih-peen
nitrofurantoin | nye-troh-fyoor-AN-toh-in
norepinephrine | nor-ep-ih-NEF-rin
olanzapine | oh-LAN-zuh-peen
omeprazole | oh-MEP-ruh-zohl
ondansetron | on-DAN-seh-tron
oxcarbazepine | oks-kar-BAZ-uh-peen
pantoprazole | pan-TOH-pruh-zohl
paroxetine | puh-RAHK-suh-teen
